ph,temperature,rainfall,crops
6.5,34.05,440.22,Sorghum - Green gram
7.1,31.87,313.41,Sorghum - Green gram
6.7,33.89,433.21,Sorghum - Green gram
6.7,33,296.72,Sorghum - Green gram
6.1,33.35,288.31,Sorghum - Green gram
6.5,30.29,372.96,Sorghum - Green gram
7,30.25,447.27,Sorghum - Green gram
6.8,34.48,319.13,Sorghum - Green gram
7.3,31.89,319.7,Sorghum - Green gram
6.1,30.67,289.31,Sorghum - Green gram
7,32.54,340.44,Sorghum - Green gram
7,34.1,263.5,Sorghum - Green gram
6.5,34.9,448.44,Sorghum - Green gram
7.4,30.68,295.18,Sorghum - Green gram
6.2,34.55,414.27,Sorghum - Green gram
7,32.59,295.41,Sorghum - Green gram
6.8,34.71,274.17,Sorghum - Green gram
6.3,33.19,416.66,Sorghum - Green gram
6.1,30.37,399.4,Sorghum - Green gram
6.3,34.83,342.42,Sorghum - Green gram
6.7,31.68,329.39,Sorghum - Green gram
6.1,34.22,254.66,Sorghum - Green gram
6.3,32.23,347.13,Sorghum - Green gram
7.2,34.92,332.84,Sorghum - Green gram
6.6,32.85,437.05,Sorghum - Green gram
6.7,30.76,263.63,Sorghum - Green gram
6.5,33.78,273.24,Sorghum - Green gram
7.2,32.69,392.18,Sorghum - Green gram
6.6,32.07,408.91,Sorghum - Green gram
6.4,33.49,292.29,Sorghum - Green gram
6.7,32.71,420.66,Sorghum - Green gram
7.3,31.47,327.03,Sorghum - Green gram
6.4,33.12,385.16,Sorghum - Green gram
6.4,32.79,443.42,Sorghum - Green gram
6.6,31.79,360.56,Sorghum - Green gram
7.3,30.65,378.64,Sorghum - Green gram
6.9,31.53,357.42,Sorghum - Green gram
6.2,18.07,581.31,Wheat - Chickpeas
6.5,18.47,628.16,Wheat - Chickpeas
6.5,21.83,619.33,Wheat - Chickpeas
6.3,19.73,694.5,Wheat - Chickpeas
6.3,22.59,563.81,Wheat - Chickpeas
6,19.69,552.28,Wheat - Chickpeas
6.2,19.53,599.6,Wheat - Chickpeas
6.1,19.96,710.81,Wheat - Chickpeas
6,23.9,659.43,Wheat - Chickpeas
6.3,19.35,624.48,Wheat - Chickpeas
6.3,23.82,548.27,Wheat - Chickpeas
6.3,21.09,672.78,Wheat - Chickpeas
6.1,23.28,677.68,Wheat - Chickpeas
6.3,18.44,692.6,Wheat - Chickpeas
6.1,23.8,506.25,Wheat - Chickpeas
6.2,21.96,521.93,Wheat - Chickpeas
6.1,19.65,662.41,Wheat - Chickpeas
6.1,20.56,647.85,Wheat - Chickpeas
6.2,18.82,505.39,Wheat - Chickpeas
6.5,22.35,563.74,Wheat - Chickpeas
6.2,23.63,551.31,Wheat - Chickpeas
6.2,21.57,714.8,Wheat - Chickpeas
6.5,23.29,629.42,Wheat - Chickpeas
6.3,22.87,705.82,Wheat - Chickpeas
6.3,18.49,608.02,Wheat - Chickpeas
6,21.26,723.99,Wheat - Chickpeas
6.1,22.05,582.31,Wheat - Chickpeas
6.2,19.25,536.87,Wheat - Chickpeas
6.1,18.22,686.8,Wheat - Chickpeas
6.2,21.28,618.12,Wheat - Chickpeas
6.2,23.32,512.12,Wheat - Chickpeas
6.4,19.4,711.03,Wheat - Chickpeas
6.4,23.49,744.2,Wheat - Chickpeas
6.3,19.52,671.37,Wheat - Chickpeas
6.3,22.98,527.44,Wheat - Chickpeas
6.3,21.76,713.59,Wheat - Chickpeas
6.4,23.3,531.03,Wheat - Chickpeas
6,22.46,721.73,Wheat - Chickpeas
6.4,20.82,706.13,Wheat - Chickpeas
6.5,18.69,670.15,Wheat - Chickpeas
6.4,19.1,691.96,Wheat - Chickpeas
6,22.11,676.18,Wheat - Chickpeas
6.4,22.87,618.39,Wheat - Chickpeas
6.1,23.03,601.34,Wheat - Chickpeas
6.2,19.07,591.61,Wheat - Chickpeas
6.3,21.87,590.4,Wheat - Chickpeas
6.1,19.85,541.3,Wheat - Chickpeas
6.5,20.7,518.44,Wheat - Chickpeas
6.5,19.34,736.93,Wheat - Chickpeas
6,20.67,626.24,Wheat - Chickpeas
6.4,18.72,658.52,Wheat - Chickpeas
6.5,22.23,648.72,Wheat - Chickpeas
6.2,22.82,548.57,Wheat - Chickpeas
6.2,23.54,574.02,Wheat - Chickpeas
6.1,21.92,659.41,Wheat - Chickpeas
6.3,23.62,722.2,Wheat - Chickpeas
6.4,21.06,708.13,Wheat - Chickpeas
6,19.3,505.16,Wheat - Chickpeas
6.1,19.42,535.31,Wheat - Chickpeas
6.3,22,683.59,Wheat - Chickpeas
6.3,19.62,576.56,Wheat - Chickpeas
6.1,23.67,643.33,Wheat - Chickpeas
6.4,20.65,513.94,Wheat - Chickpeas
6.4,18.88,556.98,Wheat - Chickpeas
6.1,20.82,651.12,Wheat - Chickpeas
6,19.84,546.32,Wheat - Chickpeas
6.4,23.87,640.19,Wheat - Chickpeas
6.4,19.48,541.83,Wheat - Chickpeas
6,20.5,516.08,Wheat - Chickpeas
6,21.13,697.43,Wheat - Chickpeas
6.3,18.48,655.21,Wheat - Chickpeas
6.3,20.88,718.2,Wheat - Chickpeas
6.5,21.49,668.18,Wheat - Chickpeas
6.1,22.93,662.37,Wheat - Chickpeas
6.5,23.14,658.42,Wheat - Chickpeas
6.3,20.85,668.02,Wheat - Chickpeas
6.2,22.02,679.01,Wheat - Chickpeas
6,22.59,658.15,Wheat - Chickpeas
6,23.89,678.19,Wheat - Chickpeas
6.2,20.05,594.1,Wheat - Chickpeas
6.5,23.74,521.2,Wheat - Chickpeas
6.4,20.34,580.02,Wheat - Chickpeas
6,22.55,596.77,Wheat - Chickpeas
6.3,21.32,628.83,Wheat - Chickpeas
6.4,23.36,710.5,Wheat - Chickpeas
6.2,18.99,743.82,Wheat - Chickpeas
6,18.94,628.91,Wheat - Chickpeas
6.4,21.11,697.67,Wheat - Chickpeas
6.2,18.9,672.1,Wheat - Chickpeas
6.4,18.53,624.08,Wheat - Chickpeas
6.2,21.24,573.78,Wheat - Chickpeas
6.4,18.7,578.81,Wheat - Chickpeas
6.3,22.11,652.64,Wheat - Chickpeas
6.5,23.77,507.03,Wheat - Chickpeas
6.1,23.97,560.28,Wheat - Chickpeas
6.1,20.8,613.96,Wheat - Chickpeas
6.3,18.06,642.83,Wheat - Chickpeas
6.3,22.83,626.4,Wheat - Chickpeas
6.4,22.75,627.84,Wheat - Chickpeas
6.5,21.07,706.99,Wheat - Chickpeas
5.9,32.35,1168.68,Rice - Azuki beans
5.8,33.59,1640.27,Rice - Azuki beans
6.4,34.84,1273,Rice - Azuki beans
6.5,21.9,1314.01,Rice - Azuki beans
6,27.04,1507.11,Rice - Azuki beans
6.3,20.52,1145.33,Rice - Azuki beans
5.8,31.59,1049.86,Rice - Azuki beans
5.9,26.04,1275.14,Rice - Azuki beans
6,22.84,1074.89,Rice - Azuki beans
6.8,32.21,1255.07,Rice - Azuki beans
5.9,20.81,1454.91,Rice - Azuki beans
5.6,26.13,1228.13,Rice - Azuki beans
6.2,24.38,1604.85,Rice - Azuki beans
6.5,29.1,1410.59,Rice - Azuki beans
5.6,27.06,1375.55,Rice - Azuki beans
5.8,32.02,1548.18,Rice - Azuki beans
5.7,31.89,1676.03,Rice - Azuki beans
6.5,25.58,1420.18,Rice - Azuki beans
5.7,25.46,1385.98,Rice - Azuki beans
6.7,31.48,1000.95,Rice - Azuki beans
6.3,27.28,1099.31,Rice - Azuki beans
5.6,23.18,1098.52,Rice - Azuki beans
6.3,23.95,1127.92,Rice - Azuki beans
5.7,24.57,1285.28,Rice - Azuki beans
5.6,22.94,1374.84,Rice - Azuki beans
6.6,26.64,1453.49,Rice - Azuki beans
5.8,22.29,1297.52,Rice - Azuki beans
6.2,34.67,1509.36,Rice - Azuki beans
6,21.7,1475.85,Rice - Azuki beans
6.5,27.23,1356.01,Rice - Azuki beans
6.2,25.07,1699.3,Rice - Azuki beans
5.6,29.82,1127.2,Rice - Azuki beans
6.2,30.73,1041.75,Rice - Azuki beans
6.7,33.76,1346.83,Rice - Azuki beans
6.2,26.91,1504.01,Rice - Azuki beans
5.7,25.43,1391.72,Rice - Azuki beans
5.6,29.96,1649.66,Rice - Azuki beans
5.6,22.69,1138.67,Rice - Azuki beans
6.1,33.68,1257.84,Rice - Azuki beans
6.4,28.53,1363.39,Rice - Azuki beans
5.6,26.72,1086.92,Rice - Azuki beans
6.1,29.7,1049.62,Rice - Azuki beans
6.3,32.26,1175.53,Rice - Azuki beans
6.1,32.03,1582.85,Rice - Azuki beans
5.7,34.19,1536.92,Rice - Azuki beans
5.9,34.26,1162.73,Rice - Azuki beans
6.1,20.72,1096.24,Rice - Azuki beans
5.9,20.88,1614.42,Rice - Azuki beans
6.4,30.06,1121.13,Rice - Azuki beans
6.5,34.86,1143.51,Rice - Azuki beans
6,24.77,1390.73,Rice - Azuki beans
6.5,27,1689.26,Rice - Azuki beans
5.7,23.37,1128.71,Rice - Azuki beans
6.5,25.48,1352.75,Rice - Azuki beans
6.5,27.46,1347.27,Rice - Azuki beans
5.6,27.25,1574.13,Rice - Azuki beans
6.6,25.29,1193.97,Rice - Azuki beans
5.9,32.84,1197.32,Rice - Azuki beans
6.8,24.48,1186.19,Rice - Azuki beans
6.3,22.73,1638.53,Rice - Azuki beans
6.1,34.6,1081.48,Rice - Azuki beans
6,21.33,1379.5,Rice - Azuki beans
5.7,27.34,1185.85,Rice - Azuki beans
5.6,20.08,1630.5,Rice - Azuki beans
6.5,30.91,1688.19,Rice - Azuki beans
6.3,20.46,1202.1,Rice - Azuki beans
6.5,22.79,1531.68,Rice - Azuki beans
6.1,31.87,1065.91,Rice - Azuki beans
6.1,25.7,1328.55,Rice - Azuki beans
6.2,32.49,1079.91,Rice - Azuki beans
5.6,33.42,1275.69,Rice - Azuki beans
6.7,23.68,1094.66,Rice - Azuki beans
6.1,24.78,1025.49,Rice - Azuki beans
6.5,32.14,1364.92,Rice - Azuki beans
6.8,25.77,1551.45,Rice - Azuki beans
5.8,27.74,1164.8,Rice - Azuki beans
6.6,20.24,1617.9,Rice - Azuki beans
5.9,27.11,1189.14,Rice - Azuki beans
6.6,30.19,1121.85,Rice - Azuki beans
6.2,34.96,1029.36,Rice - Azuki beans
5.7,22.81,1483.27,Rice - Azuki beans
6.3,33.78,1646.52,Rice - Azuki beans
6.4,21.96,1307.31,Rice - Azuki beans
6.4,31.3,1272.18,Rice - Azuki beans
6.3,29.48,1643.63,Rice - Azuki beans
5.7,33.51,1566.66,Rice - Azuki beans
6.4,20.2,1072.87,Rice - Azuki beans
6.2,27.37,1217.32,Rice - Azuki beans
6,23.92,1517.23,Rice - Azuki beans
6.5,23.78,1149.24,Rice - Azuki beans
6.6,30.65,1325.28,Rice - Azuki beans
5.7,32.45,1231.91,Rice - Azuki beans
5.8,29.19,1649.36,Rice - Azuki beans
6.6,30.42,1478.04,Rice - Azuki beans
5.9,22.97,1665.14,Rice - Azuki beans
6.2,22.03,1023.06,Rice - Azuki beans
6.1,29.53,1480.98,Rice - Azuki beans
6.1,25,1521.35,Rice - Azuki beans
5.6,28.13,1009.86,Rice - Azuki beans
5.7,30.07,1526.94,Rice - Azuki beans
6.9,25.11,845.32,Pearl millet - Pigeon peas
6.4,26.45,677.51,Pearl millet - Pigeon peas
5.9,26.89,657.81,Pearl millet - Pigeon peas
5.6,23.66,768.2,Pearl millet - Pigeon peas
5,26.18,813.96,Pearl millet - Pigeon peas
5.2,22.3,770.19,Pearl millet - Pigeon peas
5.2,23.1,890.02,Pearl millet - Pigeon peas
6.1,23.32,813.51,Pearl millet - Pigeon peas
6.7,23.07,863.45,Pearl millet - Pigeon peas
5.2,24.42,880.02,Pearl millet - Pigeon peas
5.3,24.15,871.47,Pearl millet - Pigeon peas
5.5,22.11,605.9,Pearl millet - Pigeon peas
6,24.96,669.13,Pearl millet - Pigeon peas
6.4,25.87,614.16,Pearl millet - Pigeon peas
5.3,25.36,612.61,Pearl millet - Pigeon peas
6.3,23.23,752.38,Pearl millet - Pigeon peas
6,24.6,682.51,Pearl millet - Pigeon peas
5,24.95,857.18,Pearl millet - Pigeon peas
5.7,25.6,866.74,Pearl millet - Pigeon peas
6.9,24.81,693.85,Pearl millet - Pigeon peas
7,23.18,862.03,Pearl millet - Pigeon peas
6.9,26.14,740.6,Pearl millet - Pigeon peas
5.7,26.36,620.57,Pearl millet - Pigeon peas
6.7,22.35,664.2,Pearl millet - Pigeon peas
5.5,23.05,810.28,Pearl millet - Pigeon peas
5.9,24.66,697.96,Pearl millet - Pigeon peas
5.5,24.46,606.17,Pearl millet - Pigeon peas
5.6,24.67,620.41,Pearl millet - Pigeon peas
5.8,26.97,865.88,Pearl millet - Pigeon peas
5.3,22.49,853.91,Pearl millet - Pigeon peas
6.9,24.57,830.85,Pearl millet - Pigeon peas
7,27.51,798.22,Pearl millet - Pigeon peas
5.2,24.68,777.79,Pearl millet - Pigeon peas
6.5,26.6,860.59,Pearl millet - Pigeon peas
5.1,23.67,753.32,Pearl millet - Pigeon peas
6.6,24.95,699.38,Pearl millet - Pigeon peas
6.3,26.03,718.84,Pearl millet - Pigeon peas
6.7,24.38,684.05,Pearl millet - Pigeon peas
6.7,22.5,848.22,Pearl millet - Pigeon peas
6.6,26.15,677.31,Pearl millet - Pigeon peas
6.1,26.27,756.84,Pearl millet - Pigeon peas
5.1,24.5,700.9,Pearl millet - Pigeon peas
6.7,25.3,677.38,Pearl millet - Pigeon peas
5.1,22,729.04,Pearl millet - Pigeon peas
5.7,25.94,725.5,Pearl millet - Pigeon peas
5.6,24.07,827.83,Pearl millet - Pigeon peas
5.1,22.46,719.74,Pearl millet - Pigeon peas
6.6,24.72,786.97,Pearl millet - Pigeon peas
5.7,26.4,775.34,Pearl millet - Pigeon peas
5.4,25.35,650.11,Pearl millet - Pigeon peas
5.8,23.19,689.85,Pearl millet - Pigeon peas
6.4,24.07,752.57,Pearl millet - Pigeon peas
6.1,23.55,894.26,Pearl millet - Pigeon peas
7,26.06,681.54,Pearl millet - Pigeon peas
7,27.88,754.25,Pearl millet - Pigeon peas
5.8,22.73,645.57,Pearl millet - Pigeon peas
5.4,26.91,758.11,Pearl millet - Pigeon peas
6.3,23.39,608.4,Pearl millet - Pigeon peas
5.2,24.59,760.78,Pearl millet - Pigeon peas
6.6,25.74,649.52,Pearl millet - Pigeon peas
5.3,25.26,779.94,Pearl millet - Pigeon peas
5.3,27.03,825.77,Pearl millet - Pigeon peas
6.6,23.98,626.45,Pearl millet - Pigeon peas
6.5,22.51,863.11,Pearl millet - Pigeon peas
5.7,22.83,844.84,Pearl millet - Pigeon peas
5,27.43,811.23,Pearl millet - Pigeon peas
5.2,25.85,626.44,Pearl millet - Pigeon peas
6.5,27.7,844.31,Pearl millet - Pigeon peas
5.7,26.57,679.85,Pearl millet - Pigeon peas
5.1,26.65,687.09,Pearl millet - Pigeon peas
6.2,24.19,816.84,Pearl millet - Pigeon peas
5.6,23.25,865,Pearl millet - Pigeon peas
5.1,22.71,778.44,Pearl millet - Pigeon peas
5.6,22.87,804.07,Pearl millet - Pigeon peas
5.7,22.16,824.21,Pearl millet - Pigeon peas
6.9,22.17,637.06,Pearl millet - Pigeon peas
5.9,22.98,683.64,Pearl millet - Pigeon peas
6.3,27.81,824.07,Pearl millet - Pigeon peas
5.4,23.6,608.1,Pearl millet - Pigeon peas
5.7,24.65,681.56,Pearl millet - Pigeon peas
6,23.85,859.94,Pearl millet - Pigeon peas
6.2,25.64,847.76,Pearl millet - Pigeon peas
6.1,25.1,650.85,Pearl millet - Pigeon peas
6.1,25.22,631.07,Pearl millet - Pigeon peas
6.9,26.08,707.46,Pearl millet - Pigeon peas
5.7,23.81,828.07,Pearl millet - Pigeon peas
6.3,24.12,770.51,Pearl millet - Pigeon peas
6.5,26.53,706.21,Pearl millet - Pigeon peas
5.3,22.15,759.48,Pearl millet - Pigeon peas
6.2,23.98,715.2,Pearl millet - Pigeon peas
6.3,23.08,830.56,Pearl millet - Pigeon peas
5.6,23.47,837.96,Pearl millet - Pigeon peas
5.1,22.31,897.34,Pearl millet - Pigeon peas
6.8,23.72,831.75,Pearl millet - Pigeon peas
5.7,27.83,874.12,Pearl millet - Pigeon peas
5.6,27.14,621.88,Pearl millet - Pigeon peas
5.2,26.25,831.06,Pearl millet - Pigeon peas
6.2,23.97,874.8,Pearl millet - Pigeon peas
5.2,26.29,738.41,Pearl millet - Pigeon peas
6.9,23.54,733.31,Pearl millet - Pigeon peas
7.1,29.39,501.91,Sesame - Mung bean
5.7,25.83,574.92,Sesame - Mung bean
7,25.68,532.57,Sesame - Mung bean
5.9,27.35,463.71,Sesame - Mung bean
5.1,28.07,571.93,Sesame - Mung bean
6.5,27.91,561.89,Sesame - Mung bean
5.3,28.03,547.94,Sesame - Mung bean
6.4,27.11,599.83,Sesame - Mung bean
6.6,28.97,583.21,Sesame - Mung bean
6.7,29,592.73,Sesame - Mung bean
5.4,27.66,585.7,Sesame - Mung bean
6.4,26.24,539.18,Sesame - Mung bean
6.6,25.19,567.7,Sesame - Mung bean
6.6,25.53,529.02,Sesame - Mung bean
7.5,25.26,579.11,Sesame - Mung bean
5.9,26.23,504.75,Sesame - Mung bean
5,25.7,537.15,Sesame - Mung bean
7.3,26.51,452.15,Sesame - Mung bean
5.3,28.18,562.1,Sesame - Mung bean
6.4,28.8,586,Sesame - Mung bean
5.7,27.17,594.91,Sesame - Mung bean
5.2,28.92,490.3,Sesame - Mung bean
7.1,26.97,572.01,Sesame - Mung bean
5.7,29.34,562.98,Sesame - Mung bean
5.6,29.43,479.63,Sesame - Mung bean
6.6,25.32,542.89,Sesame - Mung bean
5.7,26.74,558.06,Sesame - Mung bean
5.9,26.49,482.29,Sesame - Mung bean
6.4,28.39,469.51,Sesame - Mung bean
6.9,27.91,546.92,Sesame - Mung bean
7.4,26.69,573.05,Sesame - Mung bean
6.4,28.97,529.62,Sesame - Mung bean
6.9,28.54,587.87,Sesame - Mung bean
7,28.31,502.22,Sesame - Mung bean
5.5,26.51,451.43,Sesame - Mung bean
5.1,28.81,498.86,Sesame - Mung bean
5.9,29.14,519.47,Sesame - Mung bean
6.7,27.86,506.35,Sesame - Mung bean
7.1,28.8,458.21,Sesame - Mung bean
7.3,27.84,474.26,Sesame - Mung bean
5.3,25.43,562.17,Sesame - Mung bean
5.7,29.09,451.24,Sesame - Mung bean
6.2,26.83,544.46,Sesame - Mung bean
6.1,29.09,574.48,Sesame - Mung bean
7.2,29.89,496.3,Sesame - Mung bean
6.3,28.59,511.8,Sesame - Mung bean
7.1,25.06,513.66,Sesame - Mung bean
5.7,27.18,565.81,Sesame - Mung bean
6.4,28.26,592.43,Sesame - Mung bean
5.7,27.88,541.46,Sesame - Mung bean
5.8,27.2,568.37,Sesame - Mung bean
7.5,26.81,559.59,Sesame - Mung bean
6.6,29.53,566.37,Sesame - Mung bean
5.4,25.74,571.4,Sesame - Mung bean
7.2,29.54,535.95,Sesame - Mung bean
5.3,25.75,497.6,Sesame - Mung bean
6.8,26.45,529.31,Sesame - Mung bean
6.8,29.12,522.85,Sesame - Mung bean
7,28.73,455.99,Sesame - Mung bean
6.6,28.98,521.14,Sesame - Mung bean
7.2,28.94,499.26,Sesame - Mung bean
5.6,29.76,531.27,Sesame - Mung bean
5.6,28.15,579.57,Sesame - Mung bean
6.9,28.11,559.32,Sesame - Mung bean
6.7,28.86,506.98,Sesame - Mung bean
6.8,25.86,512.94,Sesame - Mung bean
5.5,28.39,530.16,Sesame - Mung bean
6.2,29.91,479.14,Sesame - Mung bean
7.2,25.12,595.14,Sesame - Mung bean
5.7,28.1,588.09,Sesame - Mung bean
7.3,25.41,496.4,Sesame - Mung bean
6.3,27.36,487.97,Sesame - Mung bean
6.7,29.74,567.38,Sesame - Mung bean
6.5,28.96,519.16,Sesame - Mung bean
5.3,26.3,519.26,Sesame - Mung bean
7.2,26.68,596.43,Sesame - Mung bean
7.2,25.3,596.13,Sesame - Mung bean
6.3,28.08,597.26,Sesame - Mung bean
5.4,26.2,505.62,Sesame - Mung bean
6.4,25.95,598.97,Sesame - Mung bean
6.8,28.67,483.24,Sesame - Mung bean
6.8,29.81,569.08,Sesame - Mung bean
5.5,26.98,592.13,Sesame - Mung bean
7.2,27.23,502.72,Sesame - Mung bean
6.8,25.9,475.66,Sesame - Mung bean
6.4,29.17,556.03,Sesame - Mung bean
6.4,27.83,471,Sesame - Mung bean
